time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/entropy_loss,train/approx_kl,train/clip_fraction,train/loss,train/learning_rate,train/std,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/clip_range,train/n_updates
0,4307,2048,1,7.18,8.18,,,,,,,,,,,
1,2840,4096,2,9.87,10.87,-1.3978907659649848,0.018017638,0.1951171875,3.599968433380127,0.0003,0.9574082493782043,-0.02741207584331278,-0.020210981369018555,14.854872135818004,0.2,10
2,2607,6144,3,14.64,15.64,-1.3512238916009665,0.016449146,0.18291015625,10.860414505004883,0.0003,0.9129599928855896,-0.028589363489300013,0.1363898515701294,16.26421080827713,0.2,20
3,2427,8192,4,22.81,23.81,-1.31285244487226,0.018069068,0.16318359375,11.601301193237305,0.0003,0.8872299194335938,-0.028395179766812363,0.10959887504577637,33.357898253202436,0.2,30
4,2368,10240,5,32.8,33.8,-1.2884293507784605,0.010417992,0.114501953125,23.6229305267334,0.0003,0.8681962490081787,-0.021332309331046417,0.08227711915969849,48.228650665283205,0.2,40
5,2357,12288,6,43.45,44.45,-1.2665727265179156,0.00949524,0.100634765625,22.490150451660156,0.0003,0.84791499376297,-0.018173053188365883,0.10907548666000366,62.56624108552933,0.2,50
6,2339,14336,7,52.39,53.39,-1.24485542178154,0.0079374565,0.066015625,21.73720932006836,0.0003,0.8308094143867493,-0.011499292805092409,0.34271031618118286,53.43852640986442,0.2,60
7,2325,16384,8,64.7,65.7,-1.233396614715457,0.008573886,0.0796875,14.417420387268066,0.0003,0.8336942195892334,-0.00938099997729296,0.6534931659698486,42.82611083686352,0.2,70
7,2318,18432,9,73.45,74.45,-1.2341538663953542,0.00783937,0.075634765625,9.866726875305176,0.0003,0.8295382857322693,-0.009764070490200538,0.7430108785629272,39.606394892930986,0.2,80
8,2308,20480,10,83.0,84.0,-1.2269109457731247,0.0057781083,0.078515625,7.989794731140137,0.0003,0.8208690881729126,-0.007434331627155189,0.8585463762283325,28.61887746453285,0.2,90
9,2303,22528,11,94.09,95.09,-1.2233262564986944,0.009109948,0.12099609375,5.016129970550537,0.0003,0.8242639303207397,-0.012410434542107395,0.8720662593841553,28.29605303257704,0.2,100
10,2299,24576,12,107.6,108.6,-1.2229969788342714,0.011360147,0.098779296875,9.803312301635742,0.0003,0.8210944533348083,-0.010216518133529463,0.8933621048927307,27.699336716532706,0.2,110
11,2299,26624,13,122.07,123.07,-1.223226137086749,0.011035336,0.1228515625,3.4914121627807617,0.0003,0.8237692713737488,-0.01647287234372925,0.9344019889831543,19.824760492146016,0.2,120
12,2299,28672,14,136.92,137.92,-1.2256588369607926,0.008026977,0.10107421875,1.9959560632705688,0.0003,0.8247950077056885,-0.013870297046378256,0.9714732766151428,8.868413876742125,0.2,130
13,2262,30720,15,152.35,153.35,-1.222503276541829,0.0076906164,0.120458984375,2.181485652923584,0.0003,0.8212411403656006,-0.016800634514947888,0.9760826826095581,8.525680193305016,0.2,140
14,2264,32768,16,169.58,170.57,-1.2124801430851222,0.013293319,0.13583984375,3.824451208114624,0.0003,0.8048959970474243,-0.013557091598340777,0.9570438861846924,14.894592156261206,0.2,150
15,2255,34816,17,188.98,189.96,-1.192832836136222,0.011855148,0.136328125,2.087890863418579,0.0003,0.7910653352737427,-0.014077418434317224,0.9580324292182922,7.518722470104694,0.2,160
16,2254,36864,18,203.41,204.38,-1.1878452572971583,0.01328503,0.192529296875,2.4921352863311768,0.0003,0.7959623336791992,-0.02340258530311985,0.9729631543159485,6.568449111282826,0.2,170
17,2253,38912,19,221.94,222.89,-1.1904873806983232,0.01660252,0.20244140625,1.7157618999481201,0.0003,0.7960917353630066,-0.017716640992148314,0.9726281762123108,3.8902523825876414,0.2,180
18,2252,40960,20,241.47,242.4,-1.1856138210743665,0.013275119,0.1859375,1.5468624830245972,0.0003,0.7873919010162354,-0.01895573071669787,0.8838488459587097,4.634289703145623,0.2,190
19,2252,43008,21,259.99,260.9,-1.1799465537071228,0.006451986,0.073486328125,24.141555786132812,0.0003,0.7864437103271484,-0.005648404733801726,0.1554599404335022,31.11124096913263,0.2,200
20,2247,45056,22,277.15,278.04,-1.1425584580749273,0.00912928,0.10107421875,0.07880385965108871,0.0003,0.7406477332115173,-0.013299464203009847,-0.1456819772720337,0.3736242634942755,0.2,210
20,2243,47104,23,294.65,295.54,-1.1283120904117823,0.004526615,0.0810546875,-0.018475383520126343,0.0003,0.7548220157623291,-0.0026099967668415046,0.029545187950134277,0.19952583012927788,0.2,220
21,2245,49152,24,312.86,313.73,-1.1319547954946756,0.0033879713,0.060009765625,90.57969665527344,0.0003,0.7463674545288086,-0.004667860690096859,-0.00037920475006103516,104.71179160624743,0.2,230
22,2245,51200,25,330.79,331.64,-1.1235911443829536,0.011706155,0.1091796875,0.007281996309757233,0.0003,0.7440478801727295,-0.004352132301573874,-0.1248319149017334,0.17552268429717516,0.2,240
23,2246,53248,26,349.22,350.05,-1.1207473527640104,0.010055162,0.0908203125,0.022755196318030357,0.0003,0.7409474849700928,-0.0026918463525362315,-0.06690478324890137,0.10019963105223724,0.2,250
24,2247,55296,27,367.79,368.6,-1.1095461037009955,0.0037381367,0.07802734375,0.015377705916762352,0.0003,0.7269281148910522,-0.0025392930168891326,-0.040799617767333984,0.06983441761913127,0.2,260
25,2248,57344,28,385.88,386.67,-1.0994517005980016,0.00686749,0.107275390625,-0.012212877161800861,0.0003,0.7248445749282837,-0.0038058504433138296,-0.0024924278259277344,0.03963356087651846,0.2,270
26,2248,59392,29,404.68,405.45,-1.1001065380871295,0.0024903126,0.047412109375,-0.0014233796391636133,0.0003,0.729783296585083,-0.002273577371670399,0.11968231201171875,0.023782058718370535,0.2,280
27,2247,61440,30,422.88,423.63,-1.111969093233347,0.0043269694,0.05048828125,0.0006207781843841076,0.0003,0.7433532476425171,-0.0018396631829091347,-0.03661000728607178,0.015571440231587986,0.2,290
28,2248,63488,31,440.51,441.24,-1.1243738561868668,0.0048258565,0.04697265625,-0.0027126590721309185,0.0003,0.7462320327758789,-0.0013800112166791223,0.031019926071166992,0.00997317334276886,0.2,300
29,2246,65536,32,458.09,458.8,-1.1264242269098759,0.0048955414,0.055517578125,-0.0017456491477787495,0.0003,0.7473640441894531,-0.0004913656084681861,-0.11609184741973877,0.0066168494437533806,0.2,310
30,2242,67584,33,475.59,476.28,-1.1252776935696602,0.0057749245,0.03271484375,-0.003211533883586526,0.0003,0.7435653209686279,-0.000549924846563954,-0.06942176818847656,0.00422132030425928,0.2,320
31,2225,69632,34,493.19,493.86,-1.1112431459128858,0.0050210976,0.0505859375,-0.003781839506700635,0.0003,0.7277201414108276,-0.002855480240395991,-0.06588101387023926,0.0027255010812723413,0.2,330
32,2226,71680,35,519.77,520.41,-1.0937413964420557,0.002428249,0.025927734375,-0.017502106726169586,0.0003,0.7167171239852905,-0.0007734786515356973,-0.11171269416809082,0.00197818998042294,0.2,340
33,2219,73728,36,537.91,538.53,-1.0963977128267288,0.0045687747,0.0677734375,-0.020342981442809105,0.0003,0.7287214994430542,-0.0017778607172658667,-0.11283421516418457,0.0014161093703023652,0.2,350
34,2220,75776,37,555.33,555.93,-1.1016043946146965,0.0022461074,0.07568359375,-0.004494472406804562,0.0003,0.7258111238479614,-0.0010401210558484309,-0.1598895788192749,0.000837531089297272,0.2,360
35,2223,77824,38,574.34,574.92,-1.0963254116475583,0.004632821,0.030078125,-0.003991306759417057,0.0003,0.7207138538360596,-0.00043080846808152273,-0.10358917713165283,0.0006051839697079231,0.2,370
35,2223,79872,39,592.55,593.11,-1.0907320722937583,0.0041330135,0.055078125,-0.008335819467902184,0.0003,0.7188279032707214,-0.0025537144334521144,-0.07788026332855225,0.00040640813245431675,0.2,380
36,2218,81920,40,610.24,610.78,-1.0749900586903096,0.005764371,0.07724609375,0.004590682219713926,0.0003,0.7020412683486938,-0.003214372078946326,-0.10517370700836182,0.00030337979571868343,0.2,390
37,2214,83968,41,626.88,627.4,-1.0526273854076862,0.0024862618,0.026171875,-0.013451709412038326,0.0003,0.6867481470108032,-0.00039532430746476167,-0.24282383918762207,0.00022339375748856583,0.2,400
38,2213,86016,42,643.4,643.9,-1.0330323487520219,0.0068065436,0.066259765625,0.02677490934729576,0.0003,0.6766256093978882,-0.0035193909774534405,-0.19768738746643066,0.00018788330502843563,0.2,410
39,2204,88064,43,661.51,661.99,-1.0216357354074717,0.006599726,0.086865234375,-0.022384369745850563,0.0003,0.6683353185653687,-0.0024300893521285614,-0.2793463468551636,0.00012860525971802872,0.2,420
40,2199,90112,44,679.95,680.41,-1.0045581322163344,0.0034094402,0.04111328125,0.00627687806263566,0.0003,0.6524226665496826,9.511534663033671e-05,-0.4430602788925171,8.310776427435939e-05,0.2,430
41,2198,92160,45,697.13,697.57,-0.9803232207894326,0.0036383711,0.04755859375,0.026691019535064697,0.0003,0.6381325721740723,-0.0026758512460219206,-0.08782386779785156,5.209837065649481e-05,0.2,440
42,2196,94208,46,712.18,712.6,-0.9493026684969663,0.0034744446,0.04130859375,-0.014606190845370293,0.0003,0.6149110794067383,-0.003031159499369096,-0.7056512832641602,7.303074986282354e-05,0.2,450
43,2197,96256,47,728.95,729.35,-0.9208934733644127,0.0034751026,0.026318359375,0.004979949910193682,0.0003,0.6000379920005798,0.00034969183034263553,-0.5289636850357056,4.004336880143455e-05,0.2,460
44,2195,98304,48,746.23,746.61,-0.8893166625872254,0.005849363,0.053759765625,-0.009791393764317036,0.0003,0.5792118310928345,-0.002859078423352912,-0.7863084077835083,2.4760836754467164e-05,0.2,470
45,2186,100352,49,762.52,762.88,-0.8611324030905962,0.004503056,0.04306640625,-0.006620270665735006,0.0003,0.5676528811454773,-0.0014771202331758104,-1.279148817062378,2.341268892962489e-05,0.2,480
46,2187,102400,50,779.37,779.71,-0.8317050542682409,0.006385871,0.059912109375,0.005308017134666443,0.0003,0.5460599064826965,-0.00535783092782367,-0.6570591926574707,2.666805373507941e-05,0.2,490
47,2189,104448,51,795.03,795.35,-0.793530710414052,0.0031530396,0.0322265625,0.005747691728174686,0.0003,0.5270488262176514,7.51212501199916e-05,-1.084162712097168,7.815836653435326e-06,0.2,500
48,2190,106496,52,810.48,810.78,-0.7592514919117093,0.0042604944,0.03408203125,0.018001345917582512,0.0003,0.5083346366882324,-0.001886353520967532,-0.9153541326522827,1.8916039803684725e-05,0.2,510
49,2192,108544,53,825.1,825.38,-0.7231548925861716,0.0057091853,0.0724609375,-0.010600968264043331,0.0003,0.4912142753601074,-0.005166047625971259,-1.1775486469268799,4.4024424255439955e-06,0.2,520
50,2187,110592,54,840.93,841.19,-0.6946404077112674,0.007164576,0.067919921875,0.012990018352866173,0.0003,0.4787423014640808,-0.0005481958112795837,-2.7593843936920166,4.06452758170417e-06,0.2,530
51,2187,112640,55,857.11,857.35,-0.6711173115298152,0.008032701,0.093798828125,0.003130549332126975,0.0003,0.46885567903518677,-0.006288942399260122,-2.046501398086548,9.512099347830372e-06,0.2,540
52,2178,114688,56,880.91,881.12,-0.645070380717516,0.003674351,0.041748046875,0.008779400959610939,0.0003,0.454289048910141,-0.0008062510278250556,-2.849302053451538,2.506887292952342e-06,0.2,550
54,2158,116736,57,892.97,893.16,-0.6095785856246948,0.005391997,0.044775390625,-0.010213050991296768,0.0003,0.4384550452232361,-0.00022552835871465505,-4.5434889793396,3.1933261482208765e-06,0.2,560
55,2142,118784,58,907.88,908.05,-0.5765848433598876,0.0039717285,0.04345703125,0.034535299986600876,0.0003,0.42499205470085144,0.0005464772635605186,-6.3724589347839355,2.132136313548472e-06,0.2,570
56,2135,120832,59,921.6,921.75,-0.5461718810722231,0.005604985,0.060400390625,-0.009095999412238598,0.0003,0.4107951819896698,-0.002491751074558124,-8.521162986755371,1.936060255047778e-06,0.2,580
58,2106,122880,60,932.86,932.99,-0.5079776925966144,0.0057911724,0.041064453125,-0.025945406407117844,0.0003,0.3955034017562866,-0.00028468630916904657,-6.588498592376709,3.7644150012283715e-06,0.2,590
59,2097,124928,61,946.53,946.64,-0.4695656822994351,0.0048094485,0.0595703125,0.013669416308403015,0.0003,0.38004863262176514,-0.00045069338084431366,-8.882782936096191,0.00014738595317851378,0.2,600
60,2095,126976,62,952.88,952.97,-0.4330228382721543,0.009497322,0.071142578125,0.015761010348796844,0.0003,0.36612921953201294,-0.0020346666016848756,-10.60556697845459,8.363354567109127e-07,0.2,610
62,2080,129024,63,952.88,952.97,-0.3911947302520275,0.0047018286,0.037646484375,0.003818127326667309,0.0003,0.35054948925971985,-0.0009698105888674036,-9.701966285705566,9.758802036685666e-07,0.2,620
63,2079,131072,64,966.39,966.46,-0.3452015437185764,0.00712412,0.051708984375,-0.010588937439024448,0.0003,0.33464139699935913,-0.002922140547889285,-11.08597469329834,5.505933427230048e-06,0.2,630
64,2078,133120,65,980.3,980.35,-0.3024658501148224,0.006265596,0.064501953125,-0.008108547888696194,0.0003,0.3217621445655823,-0.0012905107549158856,-12.979266166687012,4.2706980195816865e-06,0.2,640
65,2077,135168,66,983.49,983.53,-0.26751165091991425,0.007996233,0.070458984375,-0.021835606545209885,0.0003,0.3119772672653198,-0.0018114654434612022,-24.873689651489258,8.640454380213214e-05,0.2,650
66,2058,137216,67,983.49,983.53,-0.23624543882906437,0.0034959463,0.0583984375,-0.011598818004131317,0.0003,0.3024299740791321,-0.0014905046118656173,-7.979616165161133,1.638900499756346e-07,0.2,660
68,2027,139264,68,990.18,990.21,-0.19965328723192216,0.0050646644,0.056787109375,0.0038467547856271267,0.0003,0.2906491756439209,-0.0006135913179605268,-25.598539352416992,1.441163846038762e-07,0.2,670
71,1987,141312,69,990.18,990.21,-0.17162902057170867,0.008431849,0.11220703125,-0.03529063239693642,0.0003,0.28387778997421265,-0.0019992316883872263,-29.617151260375977,2.7297239455492674e-07,0.2,680
71,1991,143360,70,990.18,990.21,-0.14456529840826987,0.0043739444,0.052783203125,0.0008438929216936231,0.0003,0.2748385965824127,0.000476053383317776,-19.51908302307129,3.542286634683478e-07,0.2,690
72,1994,145408,71,992.79,992.81,-0.11436122469604015,0.0034339929,0.072314453125,0.008656764402985573,0.0003,0.268393874168396,0.0016242330690147354,-28.51069450378418,1.4294011151605447e-06,0.2,700
73,1998,147456,72,1000.0,1000.0,-0.09200743921101093,0.005038119,0.049658203125,0.013761698268353939,0.0003,0.26268792152404785,0.004340623355528805,-7.656110763549805,1.2497305499437062e-05,0.2,710
74,2001,149504,73,1000.0,1000.0,-0.06342375613749027,0.0080644395,0.065234375,0.0007425103103742003,0.0003,0.2541508972644806,-0.002185718549299054,-12.297636032104492,5.7710392439958014e-05,0.2,720
75,2004,151552,74,1000.0,1000.0,-0.028729069605469705,0.00460403,0.04990234375,0.0006295708008110523,0.0003,0.24457797408103943,-0.0003897807648172602,-10.987542152404785,6.890146508453654e-06,0.2,730
76,2007,153600,75,1000.0,1000.0,0.012984605878591538,0.0049765706,0.0462890625,-0.01617559604346752,0.0003,0.23387302458286285,0.0010914695682004093,-18.083965301513672,1.930782741510484e-06,0.2,740
77,2010,155648,76,1000.0,1000.0,0.049182170256972316,0.0029818686,0.077197265625,0.010200276039540768,0.0003,0.227144256234169,0.000719234307325678,-14.253716468811035,0.00013838376354442518,0.2,750
78,2013,157696,77,1000.0,1000.0,0.07889753356575965,0.0064248284,0.065771484375,-0.014631446450948715,0.0003,0.2206907421350479,0.0022003507561748846,-4.970775127410889,1.7925408144492394e-07,0.2,760
79,2016,159744,78,1000.0,1000.0,0.10623507872223854,0.004722732,0.09462890625,-0.014100209809839725,0.0003,0.2147374302148819,-0.00039417441003024577,-3.1499195098876953,1.5590854616220894e-07,0.2,770
80,2019,161792,79,1000.0,1000.0,0.12786853834986686,0.0044139433,0.062890625,-0.013784944079816341,0.0003,0.2113555669784546,0.003771152123226784,-4.8790507316589355,4.2814594962692355e-07,0.2,780
81,2022,163840,80,1000.0,1000.0,0.15076231211423874,0.007395774,0.0701171875,-0.012597212567925453,0.0003,0.20531818270683289,0.0030796846898738296,-5.882997989654541,8.088957429208677e-07,0.2,790
81,2025,165888,81,1000.0,1000.0,0.18207026571035384,0.004457106,0.063330078125,0.016066281124949455,0.0003,0.19871193170547485,0.0010385422821855173,-3.6858925819396973,1.724777219749285e-05,0.2,800
82,2028,167936,82,1000.0,1000.0,0.2168114498257637,0.00672689,0.088916015625,0.0363272987306118,0.0003,0.19179287552833557,0.0005068897487944923,-15.887218475341797,1.0980895837064963e-06,0.2,810
83,2031,169984,83,1000.0,1000.0,0.24670145101845264,0.008141266,0.08271484375,-0.0022064161021262407,0.0003,0.18716582655906677,0.0008926908645662479,-22.231685638427734,0.00023500874555963945,0.2,820
84,2033,172032,84,1000.0,1000.0,0.2705050215125084,0.0073118173,0.07568359375,0.013352076523005962,0.0003,0.18266749382019043,0.003087658280492178,-8.690991401672363,9.993622711590433e-08,0.2,830
85,2036,174080,85,1000.0,1000.0,0.3036545693874359,0.0033902884,0.075146484375,-0.0013377920258790255,0.0003,0.17564910650253296,0.0005626760328595992,-11.684633255004883,2.4821650470130406e-06,0.2,840
86,2038,176128,86,1000.0,1000.0,0.33768421933054926,0.0058417837,0.063623046875,-0.004509645979851484,0.0003,0.17068591713905334,0.0006218326903763227,-14.12061882019043,4.096416716947715e-08,0.2,850
87,2040,178176,87,1000.0,1000.0,0.37035212442278864,0.0060392385,0.087451171875,-0.006200353614985943,0.0003,0.16406333446502686,0.0013020335987675934,-12.144213676452637,6.550193120347103e-07,0.2,860
88,2043,180224,88,1000.0,1000.0,0.40770790688693526,0.0123333335,0.075341796875,0.0035172859206795692,0.0003,0.1581035703420639,0.002824889083422022,-12.980520248413086,2.1630014884976846e-06,0.2,870
89,2044,182272,89,1000.0,1000.0,0.43742626421153546,0.0033946813,0.08486328125,-0.039107903838157654,0.0003,0.15472163259983063,0.003189432920771651,-40.98572540283203,2.3165334283703485e-06,0.2,880
90,2042,184320,90,1000.0,1000.0,0.4609289955347776,0.0052017043,0.094921875,-0.009533341974020004,0.0003,0.15118488669395447,0.0036638737728935666,-10.303915023803711,1.2705257574907591e-06,0.2,890
91,2044,186368,91,1000.0,1000.0,0.4828224156051874,0.009775448,0.08515625,0.026694031432271004,0.0003,0.1478562206029892,0.0019970360008301213,-8.644031524658203,7.067274054861628e-08,0.2,900
92,2045,188416,92,1000.0,1000.0,0.5169380519539117,0.0064747944,0.090966796875,-0.009557798504829407,0.0003,0.14158999919891357,-0.00010712734365370125,-11.099186897277832,3.4853343663598936e-06,0.2,910
93,2047,190464,93,1000.0,1000.0,0.5487134549766779,0.005747561,0.103564453125,0.034181006252765656,0.0003,0.13816092908382416,0.0024329373423825017,-45.24959182739258,6.328279454237418e-06,0.2,920
94,2037,192512,94,1000.0,1000.0,0.5783420037478209,0.00520251,0.097216796875,0.017721274867653847,0.0003,0.1338660567998886,0.0019524606039340142,-11.238627433776855,0.0008180969570076968,0.2,930
95,2031,194560,95,1000.0,1000.0,0.6080223768949509,0.009305963,0.101611328125,-0.010936759412288666,0.0003,0.1293291449546814,0.004213626828277484,-13.250472068786621,2.1032184349678572e-08,0.2,940
96,2029,196608,96,1000.0,1000.0,0.6523513093590736,0.0055901874,0.079541015625,-0.009643420577049255,0.0003,0.12389855831861496,0.0013963261255412363,-17.929821014404297,3.6652215840149437e-08,0.2,950
97,2031,198656,97,1000.0,1000.0,0.6833281420171261,0.0038196992,0.0943359375,0.02770610898733139,0.0003,0.12066040933132172,0.003991579303692561,-19.23383331298828,3.467103795173898e-08,0.2,960
98,2027,200704,98,1000.0,1000.0,0.7140399686992168,0.009906104,0.1037109375,0.03988557308912277,0.0003,0.11684462428092957,0.0015135806243051775,-43.09477615356445,4.864041329710744e-08,0.2,970
